"full_path","source_root","relative_path","name","extension","size_bytes","size_mb","modified_time","sheet_count","approx_rows","approx_columns","encoding","possible_source","probable_content","key_variables_identified","thematic_category","potential_utility","status","compressed_entry_count","compressed_entry_extensions","observations"
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_IE.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_IE.csv","WID_data_IE.csv",".csv","19439927","18.539","2026-06-19T10:13:09",,"417654","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_IL.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_IL.csv","WID_data_IL.csv",".csv","17818465","16.993","2026-06-19T10:13:09",,"382274","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_IM.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_IM.csv","WID_data_IM.csv",".csv","16307577","15.552","2026-06-19T10:13:10",,"409580","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_IN.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_IN.csv","WID_data_IN.csv",".csv","30540336","29.126","2026-06-19T10:13:12",,"655207","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_IQ.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_IQ.csv","WID_data_IQ.csv",".csv","17357305","16.553","2026-06-19T10:13:13",,"378207","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_IR.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_IR.csv","WID_data_IR.csv",".csv","22926331","21.864","2026-06-19T10:13:13",,"494656","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_IS.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_IS.csv","WID_data_IS.csv",".csv","19097191","18.213","2026-06-19T10:13:13",,"411456","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_IT.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_IT.csv","WID_data_IT.csv",".csv","26188877","24.976","2026-06-19T10:13:14",,"559454","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_JE.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_JE.csv","WID_data_JE.csv",".csv","16337064","15.58","2026-06-19T10:13:14",,"413810","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_JM.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_JM.csv","WID_data_JM.csv",".csv","17483400","16.673","2026-06-19T10:13:14",,"375085","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_JO.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_JO.csv","WID_data_JO.csv",".csv","17054646","16.265","2026-06-19T10:13:14",,"366928","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_JP.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_JP.csv","WID_data_JP.csv",".csv","24017017","22.904","2026-06-19T10:13:14",,"519654","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KE.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KE.csv","WID_data_KE.csv",".csv","21702738","20.697","2026-06-19T10:13:14",,"464944","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KG.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KG.csv","WID_data_KG.csv",".csv","17842966","17.016","2026-06-19T10:13:14",,"383344","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KH.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KH.csv","WID_data_KH.csv",".csv","17521932","16.71","2026-06-19T10:13:14",,"375377","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KI.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KI.csv","WID_data_KI.csv",".csv","16117341","15.371","2026-06-19T10:13:15",,"417098","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KM.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KM.csv","WID_data_KM.csv",".csv","16591873","15.823","2026-06-19T10:13:15",,"405074","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KN.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KN.csv","WID_data_KN.csv",".csv","16253166","15.5","2026-06-19T10:13:15",,"394325","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KP.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KP.csv","WID_data_KP.csv",".csv","16961003","16.175","2026-06-19T10:13:15",,"369572","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KR.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KR.csv","WID_data_KR.csv",".csv","25725135","24.533","2026-06-19T10:13:15",,"550332","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KS.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KS.csv","WID_data_KS.csv",".csv","16933493","16.149","2026-06-19T10:13:15",,"425300","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KW.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KW.csv","WID_data_KW.csv",".csv","17373099","16.568","2026-06-19T10:13:16",,"372719","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KY.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KY.csv","WID_data_KY.csv",".csv","16335454","15.579","2026-06-19T10:13:17",,"407787","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_KZ.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_KZ.csv","WID_data_KZ.csv",".csv","17922090","17.092","2026-06-19T10:13:18",,"385591","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LA.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LA.csv","WID_data_LA.csv",".csv","17585916","16.771","2026-06-19T10:13:21",,"376211","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LB.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LB.csv","WID_data_LB.csv",".csv","17755555","16.933","2026-06-19T10:13:21",,"387426","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LC.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LC.csv","WID_data_LC.csv",".csv","16242080","15.49","2026-06-19T10:13:21",,"405952","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LI.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LI.csv","WID_data_LI.csv",".csv","16589220","15.821","2026-06-19T10:13:21",,"354383","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LK.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LK.csv","WID_data_LK.csv",".csv","17605863","16.79","2026-06-19T10:13:22",,"377175","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LR.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LR.csv","WID_data_LR.csv",".csv","16660628","15.889","2026-06-19T10:13:22",,"357942","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LS.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LS.csv","WID_data_LS.csv",".csv","17087923","16.296","2026-06-19T10:13:22",,"365558","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LT.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LT.csv","WID_data_LT.csv",".csv","19088057","18.204","2026-06-19T10:13:22",,"412424","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LU.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LU.csv","WID_data_LU.csv",".csv","19426323","18.526","2026-06-19T10:13:22",,"414990","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LV.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LV.csv","WID_data_LV.csv",".csv","19117367","18.232","2026-06-19T10:13:22",,"416558","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_LY.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_LY.csv","WID_data_LY.csv",".csv","17048005","16.258","2026-06-19T10:13:22",,"368346","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MA.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MA.csv","WID_data_MA.csv",".csv","21728175","20.722","2026-06-19T10:13:22",,"470131","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MC.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MC.csv","WID_data_MC.csv",".csv","16437768","15.676","2026-06-19T10:13:23",,"352151","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MD.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MD.csv","WID_data_MD.csv",".csv","18722450","17.855","2026-06-19T10:12:07",,"404525","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_ME.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_ME.csv","WID_data_ME.csv",".csv","18480853","17.625","2026-06-19T10:13:26",,"396485","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MF.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MF.csv","WID_data_MF.csv",".csv","449443","0.429","2026-06-19T10:13:26",,"12384","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MG.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MG.csv","WID_data_MG.csv",".csv","17523381","16.712","2026-06-19T10:13:26",,"374874","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MH.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MH.csv","WID_data_MH.csv",".csv","16281129","15.527","2026-06-19T10:13:26",,"417859","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MK.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MK.csv","WID_data_MK.csv",".csv","18688671","17.823","2026-06-19T10:13:26",,"403224","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_ML.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_ML.csv","WID_data_ML.csv",".csv","21439639","20.446","2026-06-19T10:13:26",,"459308","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MM.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MM.csv","WID_data_MM.csv",".csv","21498958","20.503","2026-06-19T10:13:26",,"467796","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MN.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MN.csv","WID_data_MN.csv",".csv","17954070","17.122","2026-06-19T10:13:26",,"384087","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MO.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MO.csv","WID_data_MO.csv",".csv","17163487","16.368","2026-06-19T10:13:26",,"368222","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MP.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MP.csv","WID_data_MP.csv",".csv","612683","0.584","2026-06-19T10:13:26",,"15780","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MR.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MR.csv","WID_data_MR.csv",".csv","17038174","16.249","2026-06-19T10:13:27",,"364494","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MS.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MS.csv","WID_data_MS.csv",".csv","16239742","15.487","2026-06-19T10:13:27",,"417292","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MT.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MT.csv","WID_data_MT.csv",".csv","18289148","17.442","2026-06-19T10:13:27",,"389023","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MU.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MU.csv","WID_data_MU.csv",".csv","17596272","16.781","2026-06-19T10:13:27",,"376433","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MV.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MV.csv","WID_data_MV.csv",".csv","17044841","16.255","2026-06-19T10:13:27",,"357354","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MW.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MW.csv","WID_data_MW.csv",".csv","17533457","16.721","2026-06-19T10:13:28",,"374554","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MX.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MX.csv","WID_data_MX.csv",".csv","22229118","21.199","2026-06-19T10:13:40",,"477578","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MY.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MY.csv","WID_data_MY.csv",".csv","17849181","17.022","2026-06-19T10:13:43",,"381843","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_MZ.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_MZ.csv","WID_data_MZ.csv",".csv","17213410","16.416","2026-06-19T10:13:43",,"368768","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_NA.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_NA.csv","WID_data_NA.csv",".csv","17243803","16.445","2026-06-19T10:13:43",,"367840","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_NC.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_NC.csv","WID_data_NC.csv",".csv","16596571","15.828","2026-06-19T10:13:43",,"403163","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_NE.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_NE.csv","WID_data_NE.csv",".csv","21881848","20.868","2026-06-19T10:13:43",,"476795","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_NG.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_NG.csv","WID_data_NG.csv",".csv","21703037","20.698","2026-06-19T10:13:43",,"463626","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_NI.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_NI.csv","WID_data_NI.csv",".csv","17515621","16.704","2026-06-19T10:13:44",,"375242","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_NL.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_NL.csv","WID_data_NL.csv",".csv","31346008","29.894","2026-06-19T10:13:44",,"674405","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_NO.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_NO.csv","WID_data_NO.csv",".csv","25128542","23.964","2026-06-19T10:13:44",,"538336","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_NP.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_NP.csv","WID_data_NP.csv",".csv","17302441","16.501","2026-06-19T10:13:44",,"370147","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
"${DATA_PART_II}\20_WID\raw_unzipped\WID_data_NR.csv","${DATA_PART_II}","20_WID\raw_unzipped\WID_data_NR.csv","WID_data_NR.csv",".csv","16227194","15.475","2026-06-19T10:13:44",,"416970","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","country; year; value","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ;."
